date,log_ret
2005-01-05,0.9891999
2005-01-06,-0.9505419
2005-01-07,0.07930376
2005-01-10,1.003133
2005-01-11,0.3274739
2005-01-12,-0.0391199
2005-01-13,0.01304167
2005-01-14,-0.8634075
2005-01-17,-2.132255
2005-01-18,0.7445468
2005-01-19,-0.7693574
2005-01-20,-1.140671
2005-01-21,2.719319
2005-01-24,1.568141
2005-01-25,-0.03607395
2005-01-26,-0.7898657
2005-01-27,-1.556622
2005-01-28,-0.5586923
2005-01-31,-1.489578
2005-02-01,0.1130405
2005-02-02,5.19359
2005-02-03,-1.369939
2005-02-04,2.352277
2005-02-16,0.6596673
2005-02-17,-0.2915597
2005-02-18,-1.435892
2005-02-21,1.927529
2005-02-22,2.037351
2005-02-23,-0.2688135
2005-02-24,0.1464543
2005-02-25,0.1242699
2005-02-28,-0.6498197
2005-03-01,-0.3901908
2005-03-02,-1.420367
2005-03-03,0.6237118
2005-03-04,-0.3948586
2005-03-07,0.604814
2005-03-08,1.838568
2005-03-09,-0.2328779
2005-03-10,-2.33269
2005-03-11,0.488822
2005-03-14,0.3497798
2005-03-15,-1.711918
2005-03-16,-1.037409
2005-03-17,-1.022094
2005-03-18,-1.440538
2005-03-21,0.3294997
2005-03-22,-1.836724
2005-03-23,-0.5210539
2005-03-24,0.6019324
2005-03-25,-0.1919337
2005-03-28,-0.2349713
2005-03-29,-0.5741503
2005-03-30,-1.919497
2005-03-31,0.5502267
2005-04-01,3.743524
2005-04-04,-1.647205
2005-04-05,-0.6851806
2005-04-06,1.873322
2005-04-07,1.130533
2005-04-08,1.883185
2005-04-11,-0.8034583
2005-04-12,-1.69396
2005-04-13,2.242971
2005-04-14,-1.401523
2005-04-15,-1.314621
2005-04-18,-1.064076
2005-04-19,0.2197279
2005-04-20,-1.56726
2005-04-21,-0.7272376
2005-04-22,-0.518301
2005-04-25,-0.9662118
2005-04-26,0.7508805
2005-04-27,-1.124668
2005-04-28,1.655761
2005-04-29,-1.031767
2005-05-09,-2.522981
2005-05-10,0.4291405
2005-05-11,-1.237529
2005-05-12,-1.793444
2005-05-13,0.1939821
2005-05-16,-1.392118
2005-05-17,0.7047213
2005-05-18,0.1972052
2005-05-19,0.1097676
2005-05-20,-0.1595989
2005-05-23,-2.224477
2005-05-24,0.591294
2005-05-25,-0.00115147
2005-05-26,-1.28871
2005-05-27,-0.9163196
2005-05-30,0.7154952
2005-05-31,0.03972984
2005-06-01,-2.175488
2005-06-02,-2.313031
2005-06-03,-0.04277657
2005-06-06,2.53117
2005-06-07,-0.2052164
2005-06-08,7.862687
2005-06-09,0.7512258
2005-06-10,-1.996569
2005-06-13,-0.179019
2005-06-14,-1.060522
2005-06-15,-1.909369
2005-06-16,1.421502
2005-06-17,0.1250299
2005-06-20,2.901804
2005-06-21,-1.119611
2005-06-22,0.4986598
2005-06-23,-0.789205
2005-06-24,0.5279413
2005-06-27,1.955594
2005-06-28,-1.354045
2005-06-29,-0.5347784
2005-06-30,-2.273963
2005-07-01,-2.209297
2005-07-04,-0.4150593
2005-07-05,-0.7328789
2005-07-06,-0.8414932
2005-07-07,0.2572173
2005-07-08,-1.8206
2005-07-11,-0.6519172
2005-07-12,3.308336
2005-07-13,-0.6584047
2005-07-14,0.396269
2005-07-15,-1.016222
2005-07-18,-0.9570023
2005-07-19,0.314036
2005-07-20,0.8377823
2005-07-21,0.1600826
2005-07-22,1.843121
2005-07-25,-0.3297314
2005-07-26,2.263934
2005-07-27,1.980307
2005-07-28,-0.3495998
2005-07-29,-0.3069056
2005-08-01,0.387691
2005-08-02,1.335797
2005-08-03,0.6585176
2005-08-04,-0.5976685
2005-08-05,2.150032
2005-08-08,0.3964851
2005-08-09,0.604121
2005-08-10,0.7771756
2005-08-11,1.437977
2005-08-12,-1.656215
2005-08-15,1.70966
2005-08-16,-0.9939226
2005-08-17,0.8376979
2005-08-18,-3.452373
2005-08-19,0.2570905
2005-08-22,0.9306104
2005-08-23,-0.8905335
2005-08-24,0.7809927
2005-08-25,-0.05696567
2005-08-26,-0.2001744
2005-08-29,-1.180099
2005-08-30,-0.2717971
2005-08-31,1.415261
2005-09-01,1.777369
