date,log_ret
1991-01-07,0.5032918
1991-01-08,0.4946756
1991-01-09,0.5054538
1991-01-10,0.2518441
1991-01-11,0.249324
1991-01-14,0.1240819
1991-01-15,0.1639213
1991-01-16,-0.1025927
1991-01-17,-0.2050736
1991-01-18,0.04285319
1991-01-19,-1.002662
1991-01-21,-0.1187739
1991-01-22,-0.09468072
1991-01-23,-0.3316358
1991-01-24,-0.217876
1991-01-25,-0.1087525
1991-01-26,-0.9714709
1991-01-28,-0.2539315
1991-01-29,-0.3255429
1991-01-30,-0.06953533
1991-01-31,-0.1639925
1991-02-01,0.1633472
1991-02-02,0.02013587
1991-02-04,0.1648489
1991-02-05,0.06783091
1991-02-06,0.349999
1991-02-07,0.430012
1991-02-08,2.658337
1991-02-09,-9.276196
1991-02-11,0.07086515
1991-02-12,0.0218129
1991-02-13,0.20689
1991-02-14,0.3019215
1991-02-19,0.2497082
1991-02-20,0.3528759
1991-02-21,0.305479
1991-02-22,0.1298709
1991-02-23,-0.1547774
1991-02-25,-0.2150166
1991-02-26,-32.96561
1991-02-27,-0.07408859
1991-02-28,-0.07334551
1991-03-01,-0.07593981
1991-03-02,-3.634503
1991-03-04,1.085179
1991-03-05,-0.3704681
1991-03-06,-0.2482636
1991-03-07,-0.3568877
1991-03-08,-0.3594102
1991-03-09,-0.5074782
1991-03-11,-0.2133938
1991-03-12,-20.37866
1991-03-13,-0.9525319
1991-03-14,-0.3594722
1991-03-15,-0.06243009
1991-03-16,-0.512439
1991-03-18,-0.4112006
1991-03-19,-0.3889176
1991-03-20,-0.5192254
1991-03-21,-0.3643944
1991-03-22,-0.5002588
1991-03-23,-0.4892092
1991-03-25,-0.6838421
1991-03-26,-0.3148759
1991-03-27,-0.5082843
1991-03-28,-0.3324767
1991-03-29,-0.5636265
1991-03-30,0.5086061
1991-04-01,0.3169186
1991-04-02,-0.2135477
1991-04-03,0.5960669
1991-04-04,-0.6326898
1991-04-05,-0.3142331
1991-04-06,-0.4959793
1991-04-08,-0.2735075
1991-04-09,-0.2541692
1991-04-10,-0.3103426
1991-04-11,-0.4562542
1991-04-12,-0.3027741
1991-04-13,-0.4721756
1991-04-15,0.1082931
1991-04-16,-0.4339353
1991-04-17,-0.3671205
1991-04-18,-0.3406038
1991-04-19,0.1526073
1991-04-20,-0.5046637
1991-04-22,-0.5026492
1991-04-23,-0.8357756
1991-04-24,-0.2403268
1991-04-25,-0.5998647
1991-04-26,0.09115332
1991-04-29,-0.4225036
1991-04-30,0.3852513
1991-05-02,-0.1269831
1991-05-03,-0.0692836
1991-05-04,-0.5122929
1991-05-06,-0.4457936
1991-05-07,-0.5158895
1991-05-08,-0.5143989
1991-05-09,-0.2443768
1991-05-10,-0.2503107
1991-05-11,-0.5096241
1991-05-13,-0.4671756
1991-05-14,-0.1565369
1991-05-15,0.1841566
1991-05-16,-0.05112431
1991-05-17,0.6664552
1991-05-18,-0.006257345
1991-05-20,0.3386279
1991-05-21,0.4403268
1991-05-22,0.1869032
1991-05-23,0.004984965
1991-05-24,0.1944826
1991-05-25,-0.4935127
1991-05-27,0.0996768
1991-05-28,0.3131116
1991-05-29,0.6749019
1991-05-30,0.6233831
1991-05-31,0.4375119
1991-06-01,0.009640913
1991-06-03,0.3298722
1991-06-04,0.6150697
1991-06-05,0.5622893
1991-06-06,0.645913
1991-06-07,0.4195715
1991-06-08,-9.14945
1991-06-10,0.4283046
1991-06-11,0.427493
1991-06-12,0.6078254
1991-06-13,0.6001355
1991-06-14,-0.4267226
1991-06-15,-2.393584
1991-06-17,0.6201599
1991-06-18,1.051331
1991-06-19,0.5187201
1991-06-20,0.6726925
1991-06-21,0.2943913
1991-06-22,-1.105422
1991-06-24,0.09314785
1991-06-25,0.1951417
1991-06-26,0.6900096
1991-06-27,1.094995
1991-06-28,0.9822609
1991-06-29,-1.936584
1991-07-01,-0.0891395
1991-07-02,-0.5241132
1991-07-03,0.2811934
1991-07-04,0.4943625
1991-07-05,-0.3779351
1991-07-06,-1.99415
1991-07-08,-0.9787235
1991-07-09,-2.207548
1991-07-10,0.00350059
1991-07-11,0.4553426
1991-07-12,-1.007462
1991-07-13,0.9295722
1991-07-15,0.3399077
1991-07-16,-0.64349
1991-07-17,-0.07383248
1991-07-18,2.707298
1991-07-19,2.229903
1991-07-20,-3.115869
1991-07-22,0.4255369
1991-07-23,0.8840938
1991-07-24,0.6615409
1991-07-25,0.02477514
1991-07-26,-0.005508661
1991-07-27,-0.7330657
1991-07-29,0.4896772
1991-07-30,0.2366547
1991-07-31,0.6789119
1991-08-01,1.239143
1991-08-02,0.8662443
1991-08-03,0.205982
1991-08-05,0.8616819
1991-08-06,0.7432958
1991-08-07,0.5806517
1991-08-08,0.493101
1991-08-09,0.3948554
1991-08-10,0
1991-08-12,0.8498278
1991-08-13,0.5976436
1991-08-14,0.7347897
1991-08-15,0.2504439
1991-08-16,1.01011
1991-08-17,-16.33144
1991-08-19,1.401257
1991-08-20,0.3349004
1991-08-21,0.5926562
1991-08-22,0.658983
1991-08-23,0.3792553
1991-08-24,0.6098545
1991-08-26,0.335259
1991-08-27,0.1705922
1991-08-28,0.6150673
1991-08-29,0.6258627
1991-08-30,0.5836374
1991-08-31,-0.3899471
1991-09-02,0.009076975
1991-09-03,0.5408114
1991-09-04,0.2313069
1991-09-05,0.1791367
1991-09-06,-0.3210572
1991-09-07,-0.3378865
1991-09-09,0.6553972
1991-09-10,0.3340626
1991-09-11,0.4799727
1991-09-12,0.3887762
1991-09-13,0.470684
1991-09-14,-0.315386
1991-09-16,0.4476872
1991-09-17,-0.0561648
1991-09-18,-0.0631094
1991-09-19,-0.06242837
1991-09-20,0.07264266
1991-09-21,0.6410608
1991-09-23,0.2258091
1991-09-24,-0.1640394
1991-09-25,0.2949504
1991-09-26,0.3019796
1991-09-27,0.3417895
1991-09-28,0.583646
1991-09-29,0.4392042
1991-09-30,-0.1330708
1991-10-03,2.438252
1991-10-04,0.3140576
1991-10-05,0.08168533
1991-10-07,4.743121
1991-10-08,5.463807
1991-10-09,4.133866
1991-10-10,0.1440156
1991-10-11,0.8963723
1991-10-12,2.927557
1991-10-14,0.6748062
1991-10-15,-0.3889276
1991-10-16,-0.01199369
1991-10-17,1.380046
1991-10-18,1.073834
1991-10-19,-0.441086
1991-10-21,0.4768237
1991-10-22,0.01579658
1991-10-23,0.7009913
1991-10-24,1.002455
1991-10-25,0.4596422
1991-10-26,0.1853754
1991-10-28,2.268557
1991-10-29,1.395093
1991-10-30,1.018707
1991-10-31,2.594148
1991-11-01,2.662293
1991-11-02,0.9224942
1991-11-04,3.533364
1991-11-05,0.9341817
1991-11-06,-0.9326879
1991-11-07,1.505684
1991-11-08,1.033649
1991-11-09,4.552899
1991-11-11,1.005673
1991-11-12,5.332563
1991-11-13,1.439265
1991-11-14,1.646789
1991-11-15,-0.8039326
1991-11-16,-2.858774
1991-11-17,14.78354
1991-11-18,-6.688524
1991-11-19,4.034228
1991-11-20,-0.03582061
1991-11-21,-1.420463
1991-11-22,1.551926
1991-11-23,0.325712
1991-11-25,-1.603637
1991-11-26,-1.200484
1991-11-27,2.418737
1991-11-28,-0.5010453
1991-11-29,-1.108194
1991-11-30,-2.343164
1991-12-02,0.6477611
1991-12-03,1.904674
1991-12-04,0.6333912
1991-12-05,-0.6785324
1991-12-06,1.117611
1991-12-07,0.5743984
1991-12-09,0.8390026
1991-12-10,0.9463841
1991-12-11,0.06249414
1991-12-12,-0.358655
1991-12-13,-0.4016538
1991-12-14,1.655776
1991-12-16,0.3847788
1991-12-17,-0.09790849
1991-12-18,0.1537329
1991-12-19,-0.09716257
1991-12-20,0.3917877
1991-12-21,0.06523295
1991-12-23,1.093412
1991-12-24,2.777318
1991-12-25,0.280087
1991-12-26,-0.1228713
1991-12-27,0.8503011
1991-12-28,2.080263
1991-12-30,0.02599803
1991-12-31,0.7583068
1992-01-02,0.1740467
1992-01-03,0.6474946
1992-01-06,0.8102069
1992-01-07,0.9765548
1992-01-08,0.09714731
1992-01-09,0.3077887
1992-01-10,0.6469288
1992-01-13,0.04478977
1992-01-14,-0.3536878
1992-01-15,-0.05304997
1992-01-16,-0.967913
1992-01-17,0.5701298
1992-01-20,0.2777098
1992-01-21,-0.07602004
1992-01-22,0.1744198
1992-01-23,0.3998531
1992-01-24,0.4661454
1992-01-27,0.2072781
1992-01-28,0.3233957
1992-01-29,0.5172046
1992-01-30,0.9095787
1992-01-31,0.5682271
1992-02-01,2.361246
1992-02-02,0.7720402
1992-02-03,-0.0766947
1992-02-07,0.2848359
1992-02-10,-0.3446146
1992-02-11,0.3805803
1992-02-12,0.3162015
